serial_number,movie_name,star,describe,introduce,movie_url,evaluate
190,朗读者,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008/美国德国/剧情爱情,https://movie.douban.com/subject/2213597/,315775人评价
191,可可西里,8.7,坚硬的信仰。,2004/中国大陆香港/剧情犯罪,https://movie.douban.com/subject/1308857/,156950人评价
192,哪吒闹海,8.9,想你时你在闹海。,1979/中国大陆/冒险动画奇幻,https://movie.douban.com/subject/1307315/,106524人评价
193,三块广告牌,8.7,,2017/美国英国/剧情犯罪,https://movie.douban.com/subject/26611804/,414820人评价
194,战争之王,8.6,做一颗让别人需要你的棋子。,2005/美国法国/剧情犯罪,https://movie.douban.com/subject/1419936/,206118人评价
195,谍影重重,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002/美国德国捷克/动作悬疑惊悚,https://movie.douban.com/subject/1304102/,236343人评价
196,黑客帝国3：矩阵革命,8.6,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003/美国澳大利亚/动作科幻,https://movie.douban.com/subject/1302467/,198429人评价
197,谍影重重2,8.6,谁说王家卫镜头很晃？,2004/美国德国/动作悬疑惊悚,https://movie.douban.com/subject/1308767/,197459人评价
198,地球上的星星,8.9,天使保护事件始末。,2007/印度/剧情儿童家庭,https://movie.douban.com/subject/2363506/,106884人评价
199,牯岭街少年杀人事件,8.8,弱者送给弱者的一刀。,1991/台湾/剧情犯罪,https://movie.douban.com/subject/1292329/,133372人评价
200,海街日记,8.7,是枝裕和的家庭习作。,2015/日本/剧情家庭,https://movie.douban.com/subject/25895901/,182240人评价
201,一次别离,8.7,只有有信仰的人才能说出事实真相。,2011/伊朗法国/剧情家庭,https://movie.douban.com/subject/5964718/,156536人评价
202,追随,8.9,诺兰的牛逼来源于内心散发出的恐惧。,1998/英国/犯罪悬疑惊悚,https://movie.douban.com/subject/1397546/,98937人评价
203,惊魂记,8.9,故事的反转与反转，分裂电影的始祖。,1960/美国/悬疑惊悚恐怖,https://movie.douban.com/subject/1293181/,106490人评价
204,青蛇,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993/香港/剧情奇幻古装,https://movie.douban.com/subject/1303394/,275052人评价
205,撞车,8.6,天使与魔鬼的冲撞。,2004/美国德国/犯罪剧情,https://movie.douban.com/subject/1388216/,204154人评价
206,小萝莉的猴神大叔,8.5,宝莱坞的萝莉与大叔。,2015/印度/剧情喜剧动作,https://movie.douban.com/subject/26393561/,230213人评价
207,再次出发之纽约遇见你,8.5,爱我就给我看你的播放列表。,2013/美国/喜剧爱情音乐,https://movie.douban.com/subject/6874403/,219078人评价
208,梦之安魂曲,8.7,一场没有春天的噩梦。,2000/美国/剧情,https://movie.douban.com/subject/1292270/,133458人评价
209,步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008/日本/剧情家庭,https://movie.douban.com/subject/2222996/,117529人评价
210,终结者2：审判日,8.6,少见的超越首部的续集，动作片中的经典。,1991/美国法国/动作科幻,https://movie.douban.com/subject/1291844/,176766人评价
211,源代码,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011/美国加拿大/科幻悬疑惊悚,https://movie.douban.com/subject/3075287/,481348人评价
212,新龙门客栈,8.5,嬉笑怒骂，调风动月。,1992/香港中国大陆/剧情动作武侠古装,https://movie.douban.com/subject/1292287/,230686人评价
213,疯狂的石头,8.3,中国版《两杆大烟枪》。,2006/中国大陆香港/喜剧犯罪,https://movie.douban.com/subject/1862151/,401379人评价
214,初恋这件小事,8.3,黑小鸭速效美白记。,2010/泰国/剧情喜剧爱情,https://movie.douban.com/subject/4739952/,566975人评价
215,东京物语,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,1953/日本/剧情家庭,https://movie.douban.com/subject/1291568/,64561人评价
216,爱在午夜降临前,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013/美国/剧情爱情,https://movie.douban.com/subject/10808442/,146970人评价
217,城市之光,9.3,永远的小人物，伟大的卓别林。,1931/美国/喜剧剧情爱情,https://movie.douban.com/subject/1293908/,57649人评价
218,无耻混蛋,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。,2009/美国德国/剧情犯罪,https://movie.douban.com/subject/1438652/,266580人评价
219,绿里奇迹,8.7,天使暂时离开。,1999/美国/犯罪剧情奇幻悬疑,https://movie.douban.com/subject/1300374/,130550人评价
220,这个男人来自地球,8.5,科幻真正的魅力不是视觉效果能取代的。 ,2007/美国/剧情科幻,https://movie.douban.com/subject/2300586/,224263人评价
221,E.T. 外星人,8.5,生病的E.T.皮肤的颜色就像柿子饼。,1982/美国/剧情科幻,https://movie.douban.com/subject/1294638/,191537人评价
222,末路狂花,8.7,没有了退路，只好飞向自由。,1991/美国法国/犯罪剧情惊悚,https://movie.douban.com/subject/1291992/,125654人评价
223,彗星来的那一夜,8.5,小成本大魅力。,2013/美国英国/科幻悬疑惊悚,https://movie.douban.com/subject/25807345/,239830人评价
224,勇闯夺命岛,8.6,类型片的极致。 ,1996/美国/动作冒险,https://movie.douban.com/subject/1292728/,167821人评价
225,天书奇谭,9.1,传奇的年代，醉人的童话。,1983(中国大陆)/2019(中国大陆重映)/中国大陆/动画,https://movie.douban.com/subject/1428581/,67656人评价
226,秒速5厘米,8.3,青春就是放弃和怀念。,2007/日本/动画剧情爱情,https://movie.douban.com/subject/2043546/,371730人评价
227,血钻,8.6,每个美丽事物背后都是滴血的现实。,2006/美国德国/剧情惊悚冒险,https://movie.douban.com/subject/1428175/,169824人评价
228,变脸,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,1997/美国/动作科幻犯罪惊悚,https://movie.douban.com/subject/1292659/,251949人评价
229,聚焦,8.8,新闻人的理性求真。,2015/美国/剧情传记,https://movie.douban.com/subject/25954475/,156731人评价
230,发条橙,8.5,我完全康复了。,1971/英国美国/犯罪剧情科幻,https://movie.douban.com/subject/1292233/,218075人评价
231,黄金三镖客,9.1,最棒的西部片。,1966/意大利西班牙西德/冒险西部,https://movie.douban.com/subject/1401118/,64235人评价
232,卡萨布兰卡,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,1942/美国/剧情爱情战争,https://movie.douban.com/subject/1296753/,147487人评价
233,海蒂和爷爷,9.1,,2015/德国瑞士南非/剧情冒险家庭,https://movie.douban.com/subject/25958717/,74169人评价
234,非常嫌疑犯,8.6,我不信仰上帝，但我敬畏上帝。,1995/德国美国/剧情犯罪悬疑惊悚,https://movie.douban.com/subject/1292214/,146196人评价
235,国王的演讲,8.3,皇上无话儿。,2010/英国澳大利亚美国/剧情传记历史,https://movie.douban.com/subject/4023638/,402454人评价
236,黑鹰坠落,8.6,还原真实而残酷的战争。,2001/美国/动作历史战争,https://movie.douban.com/subject/1291824/,148896人评价
237,碧海蓝天,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,1988/法国美国意大利/剧情爱情,https://movie.douban.com/subject/1300960/,118069人评价
238,美国丽人,8.5,每个人的内心都是深不可测的大海。 ,1999/美国/剧情爱情家庭,https://movie.douban.com/subject/1292062/,219180人评价
239,2001太空漫游,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。,1968/英国美国/科幻惊悚冒险,https://movie.douban.com/subject/1292226/,125210人评价
240,我爱你,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,2011/韩国/剧情爱情,https://movie.douban.com/subject/5908478/,74505人评价
241,千钧一发,8.7,一部能引人思考的科幻励志片。,1997/美国/剧情科幻惊悚,https://movie.douban.com/subject/1300117/,113691人评价
242,遗愿清单,8.5,用剩余不多的时间，去燃烧整个生命。,2007/美国/冒险喜剧剧情,https://movie.douban.com/subject/1867345/,164148人评价
243,海盗电台,8.6,生命不止，摇滚不死。,2009/英国德国法国/剧情喜剧音乐,https://movie.douban.com/subject/3007773/,185643人评价
244,荒野生存,8.6,出门必备：本草纲目。,2007/美国/冒险传记剧情,https://movie.douban.com/subject/1905462/,150415人评价
245,英国病人,8.5,"In memory, love lives forever...",1996/美国英国/爱情剧情战争,https://movie.douban.com/subject/1291853/,198800人评价
246,荒岛余生,8.5,一个人的独角戏。,2000/美国/冒险剧情,https://movie.douban.com/subject/1298653/,166073人评价
247,勇士,8.9,热血沸腾，相当完美的娱乐拳击大餐。,2011/美国/剧情运动家庭,https://movie.douban.com/subject/3217169/,100989人评价
248,枪火,8.7,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,1999/香港/剧情动作犯罪,https://movie.douban.com/subject/1300741/,120647人评价
249,疯狂的麦克斯4：狂暴之路,8.6,,2015/澳大利亚美国/动作科幻冒险,https://movie.douban.com/subject/3592854/,254838人评价
250,迁徙的鸟,9.1,最美的飞翔。,2001/法国德国意大利西班牙瑞士/纪录片,https://movie.douban.com/subject/1292281/,58436人评价
