serial_number,movie_name,star,describe,introduce,movie_url,evaluate
44,辩护人,9.2,电影的现实意义大过电影本身。,2013/韩国/剧情,https://movie.douban.com/subject/21937445/,300969人评价
45,两杆大烟枪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998/英国/剧情喜剧犯罪,https://movie.douban.com/subject/1293350/,340017人评价
46,飞越疯人院,9.1,自由万岁。,1975/美国/剧情,https://movie.douban.com/subject/1292224/,343283人评价
47,死亡诗社,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989/美国/剧情,https://movie.douban.com/subject/1291548/,372533人评价
48,V字仇杀队,8.8,一张面具背后的理想与革命。,2005/美国英国德国/剧情动作科幻惊悚,https://movie.douban.com/subject/1309046/,567601人评价
49,指环王2：双塔奇兵,9.0,承前启后的史诗篇章。,2002/美国新西兰/剧情动作奇幻冒险,https://movie.douban.com/subject/1291572/,358833人评价
50,教父2,9.1,优雅的孤独。,1974/美国/剧情犯罪,https://movie.douban.com/subject/1299131/,255500人评价
51,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,2009/美国/纪录片,https://movie.douban.com/subject/3442220/,226218人评价
52,末代皇帝,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国美国/剧情传记历史,https://movie.douban.com/subject/1293172/,280690人评价
53,指环王1：魔戒再现,8.9,传说的开始。,2001/新西兰美国/剧情动作奇幻冒险,https://movie.douban.com/subject/1291571/,401912人评价
54,素媛,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013/韩国/剧情,https://movie.douban.com/subject/21937452/,265873人评价
55,饮食男女,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,1994/台湾美国/剧情家庭,https://movie.douban.com/subject/1291818/,275961人评价
56,美丽心灵,8.9,爱是一切逻辑和原由。,2001/美国/传记剧情,https://movie.douban.com/subject/1306029/,394927人评价
57,情书,8.9,暗恋的极致。,1995/日本/剧情爱情,https://movie.douban.com/subject/1292220/,491635人评价
58,狮子王,8.9,动物版《哈姆雷特》。,1994/美国/剧情动画冒险歌舞家庭,https://movie.douban.com/subject/1301753/,380978人评价
59,钢琴家,9.1,音乐能化解仇恨。,2002/法国德国英国波兰/剧情传记历史战争音乐,https://movie.douban.com/subject/1296736/,260457人评价
60,美国往事,9.1,往事如烟，无处祭奠。,1984/意大利美国/犯罪剧情,https://movie.douban.com/subject/1292262/,223923人评价
61,本杰明·巴顿奇事,8.8,在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,https://movie.douban.com/subject/1485260/,512581人评价
62,小鞋子,9.2,奔跑的孩子是天使。,1997/伊朗/剧情家庭儿童,https://movie.douban.com/subject/1303021/,190742人评价
63,黑客帝国,8.9,视觉革命。,1999/美国澳大利亚/动作科幻,https://movie.douban.com/subject/1291843/,381170人评价
64,西西里的美丽传说,8.8,美丽无罪。,2000/意大利美国/剧情战争情色,https://movie.douban.com/subject/1292402/,480205人评价
65,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,https://movie.douban.com/subject/1292223/,541438人评价
66,致命魔术,8.8,孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,https://movie.douban.com/subject/1780330/,447428人评价
67,看不见的客人,8.7,你以为你以为的就是你以为的。,2016/西班牙/剧情犯罪悬疑惊悚,https://movie.douban.com/subject/26580232/,525343人评价
68,让子弹飞,8.7,你给我翻译翻译，神马叫做TMD的惊喜。,2010/中国大陆香港/剧情喜剧动作西部,https://movie.douban.com/subject/3742360/,836328人评价
69,拯救大兵瑞恩,8.9,美利坚精神输出大片No1.,1998/美国/剧情历史战争,https://movie.douban.com/subject/1292849/,325202人评价
70,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,https://movie.douban.com/subject/1787291/,395252人评价
71,寻梦环游记,9.0,死亡不是真的逝去，遗忘才是永恒的消亡。,2017/美国/喜剧动画奇幻音乐,https://movie.douban.com/subject/20495023/,673644人评价
72,大闹天宫,9.3,经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,https://movie.douban.com/subject/1418019/,153816人评价
73,音乐之声,9.0,用音乐化解仇恨，让歌声串起美好。,1965/美国/剧情传记爱情歌舞,https://movie.douban.com/subject/1294408/,300627人评价
74,哈利·波特与魔法石,8.9,童话世界的开端。,2001/美国英国/奇幻冒险,https://movie.douban.com/subject/1295038/,392687人评价
75,低俗小说,8.8,故事的高级讲法。,1994/美国/剧情喜剧犯罪,https://movie.douban.com/subject/1291832/,439103人评价
76,天使爱美丽,8.7,法式小清新。 ,2001/法国德国/喜剧爱情,https://movie.douban.com/subject/1292215/,600476人评价
77,勇敢的心,8.8,史诗大片的典范。,1995/美国/动作传记剧情历史战争,https://movie.douban.com/subject/1294639/,358526人评价
78,沉默的羔羊,8.8,安东尼·霍普金斯的顶级表演。,1991/美国/剧情犯罪惊悚,https://movie.douban.com/subject/1293544/,446823人评价
79,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,1990/美国/剧情奇幻爱情,https://movie.douban.com/subject/1292370/,613646人评价
80,蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。,2004/美国加拿大/剧情悬疑科幻惊悚,https://movie.douban.com/subject/1292343/,492263人评价
81,春光乍泄,8.9,爱情纠缠，男女一致。,1997/香港日本韩国/剧情爱情同性,https://movie.douban.com/subject/1292679/,325544人评价
82,猫鼠游戏,8.8,骗子大师和执著警探的你追我跑故事。 ,2002/美国加拿大/传记犯罪剧情,https://movie.douban.com/subject/1305487/,334142人评价
83,心灵捕手,8.8,人生中应该拥有这样的一段豁然开朗。,1997/美国/剧情,https://movie.douban.com/subject/1292656/,357135人评价
84,入殓师,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008/日本/剧情,https://movie.douban.com/subject/2149806/,376124人评价
85,布达佩斯大饭店,8.8,小清新的故事里注入了大历史的情怀。,2014/美国德国英国/剧情喜剧冒险,https://movie.douban.com/subject/11525673/,436974人评价
86,禁闭岛,8.7,昔日翩翩少年，今日大腹便便。,2010/美国/剧情悬疑惊悚,https://movie.douban.com/subject/2334904/,474908人评价
87,穿条纹睡衣的男孩,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008/英国美国/剧情战争,https://movie.douban.com/subject/3008247/,213893人评价
88,幽灵公主,8.8,人与自然的战争史诗。,1997/日本/动画奇幻冒险,https://movie.douban.com/subject/1297359/,300791人评价
89,阳光灿烂的日子,8.8,一场华丽的意淫。,1994/中国大陆香港/剧情,https://movie.douban.com/subject/1291875/,345875人评价
90,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,2009/澳大利亚/剧情喜剧动画,https://movie.douban.com/subject/3072124/,271877人评价
91,第六感,8.8,深入内心的恐怖，出人意料的结局。,1999/美国/剧情悬疑惊悚,https://movie.douban.com/subject/1297630/,296516人评价
92,狩猎,9.1,人言可畏。,2012/丹麦瑞典/剧情,https://movie.douban.com/subject/6985810/,176739人评价
93,重庆森林,8.7,寂寞没有期限。,1994/香港/剧情爱情,https://movie.douban.com/subject/1291999/,423197人评价
94,致命ID,8.7,最不可能的那个人永远是最可能的。,2003/美国/剧情悬疑惊悚,https://movie.douban.com/subject/1297192/,410691人评价
95,阿凡达,8.6,绝对意义上的美轮美奂。,2009/美国英国/动作战争科幻冒险,https://movie.douban.com/subject/1652587/,691839人评价
96,断背山,8.7,每个人心中都有一座断背山。,2005/美国加拿大/剧情爱情同性家庭,https://movie.douban.com/subject/1418834/,406750人评价
97,加勒比海盗,8.7,约翰尼·德普的独角戏。,2003/美国/动作冒险奇幻,https://movie.douban.com/subject/1298070/,458827人评价
98,摩登时代,9.2,大时代中的人生，小人物的悲喜。,1936/美国/喜剧剧情爱情,https://movie.douban.com/subject/1294371/,126514人评价
99,告白,8.7,没有一人完全善，也没有一人完全恶。,2010/日本/剧情惊悚,https://movie.douban.com/subject/4268598/,427710人评价
100,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003/美国/剧情家庭奇幻冒险,https://movie.douban.com/subject/1291545/,316017人评价
101,一一,9.0,我们都曾经是一一。,2000/台湾日本/剧情爱情家庭,https://movie.douban.com/subject/1292434/,192348人评价
102,射雕英雄传之东成西就,8.7,百看不厌。 ,1993/香港/喜剧古装,https://movie.douban.com/subject/1316510/,345984人评价
103,消失的爱人,8.7,年度最佳date movie。,2014/美国/剧情犯罪悬疑惊悚,https://movie.douban.com/subject/21318488/,466421人评价
104,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011/韩国/剧情喜剧,https://movie.douban.com/subject/4917726/,340906人评价
105,甜蜜蜜,8.8,相逢只要一瞬间，等待却像是一辈子。,1996/香港/剧情爱情,https://movie.douban.com/subject/1305164/,282126人评价
106,喜剧之王,8.6,我是一个演员。,1999/香港/喜剧剧情爱情,https://movie.douban.com/subject/1302425/,436990人评价
107,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,1995/美国奥地利瑞士/剧情爱情,https://movie.douban.com/subject/1296339/,287166人评价
108,小森林 夏秋篇,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014/日本/剧情,https://movie.douban.com/subject/25814705/,191584人评价
109,侧耳倾听,8.8,少女情怀总是诗。,1995/日本/剧情爱情动画,https://movie.douban.com/subject/1297052/,223783人评价
